Feature,Importance
Total day minutes,0.12214725213413939
Customer service calls,0.11482372881581356
Total day charge,0.11104684066763502
International plan_Yes,0.0721797331082302
Total eve minutes,0.05207036693123212
Total intl charge,0.04945452030222823
Total eve charge,0.0492977226976648
Total intl minutes,0.04285731814742614
Total night minutes,0.0383522187891063
Total night charge,0.03814821186126122
Total intl calls,0.037313647356096956
Total night calls,0.03663662569802863
Total day calls,0.03567974264400321
Account length,0.03441960068791437
Total eve calls,0.03397596966939869
Number vmail messages,0.024479953434341655
Voice mail plan_Yes,0.014780867563943402
Area code_415,0.006318168370487724
Area code_510,0.005590580014199316
State_TX,0.003760015632071651
State_OH,0.0035093652628843995
State_MS,0.003418722904226177
State_NJ,0.0032576935217092685
State_MT,0.002695616984433738
State_CA,0.002564649340761675
State_VA,0.0025411698083660224
State_ME,0.002272620220108795
State_NY,0.002156076389601602
State_PA,0.002099712463380072
State_SC,0.0020989765772265628
State_AR,0.001993213611995306
State_CT,0.0019505449605208077
State_WY,0.001897882499879296
State_UT,0.00177712900966521
State_MD,0.001770298161787635
State_LA,0.001751237981662695
State_FL,0.001750708236983689
State_NC,0.0016609924879230924
State_MN,0.0016590942790813117
State_DE,0.0016409541890133046
State_IN,0.0015830232847066335
State_NV,0.0015409103391087215
State_RI,0.001477525345259452
State_ND,0.001424557817508661
State_NE,0.0014083052436875603
State_KS,0.0013804854087504726
State_AZ,0.0013692070412346792
State_ID,0.001368568705719282
State_IL,0.0013447097207930855
State_OR,0.0013363173626857276
State_WV,0.0013225043003583267
State_DC,0.0012642433885359794
State_SD,0.0012358887739606997
State_NM,0.0012349284097968323
State_VT,0.0012332056258004208
State_WI,0.0012211165188560369
State_HI,0.001153235187169633
State_MA,0.0011271884844691203
State_CO,0.0011108706764941846
State_OK,0.0010682977995420534
State_GA,0.0009433809361266393
State_MI,0.0008755926921998739
State_AL,0.0008655937153009758
State_TN,0.0006855624873648277
State_IA,0.0006619426699381118
State_KY,0.0006053276681785347
State_MO,0.0005043357045619176
State_NH,0.0004497058337514586
State_WA,0.000403725441706661
